,user,gender,province,time,text,mk,ks
188,1829182047.0,f,100,Tue Oct 12 23:51:28 +0800 2010,亲  可以找找 Kate Spade的 有款鸟笼包包嘛,0.0,1.0
189,1829182047.0,f,100,Tue Oct 12 23:51:28 +0800 2010,求代ks鸟笼包,0.0,1.0
190,2726272555.0,f,11,Wed Apr 18 07:45:10 +0800 2012,回复@吉拉猫子:好啊 一定是正版吧  KS的还送么[害羞],0.0,1.0
191,2196454863.0,f,33,Fri Jun 24 12:48:50 +0800 2011,kate spade这个包包叫什么呀[泪]，找了好久没找到,0.0,1.0
192,1811061014.0,f,31,Sat Sep 11 20:57:21 +0800 2010,回复@BYmfm:Kate Spade Ivy Place Gabriella 全名应该是这个,0.0,1.0
193,2495502810.0,f,100,Wed Oct 26 19:42:49 +0800 2011,刚刚到手KS耳朵包，再来个钱夹就完美了。@杨蕊菡sissi [爱你] http://t.cn/RUGnfz4,0.0,1.0
194,3731325994.0,f,100,Tue Aug 20 12:20:37 +0800 2013,超喜欢KS的包包！！！@Hahani-贤,0.0,1.0
195,2812842412.0,f,35,Fri May 25 12:41:01 +0800 2012,Kate Spade包包都很好看，好少女。@飞7iyo7,0.0,1.0
196,5177089944.0,f,11,Thu Jun 12 14:49:01 +0800 2014,#katespade惊喜特卖会#距离活动结束还有几个小时啦！小编都替你捉急(认真脸！错过这次真的是等半年哦~一键海淘买买买>>http://t.cn/RU4pcit,0.0,1.0
197,5476358724.0,f,11,Tue Jan 13 14:03:13 +0800 2015,#katespade惊喜特卖会#这个价格太逆天！连特价君都忍不住剁手买了2个……[笑cry],0.0,1.0
